Прізвище,Релігія
Андрієвський,Православні
Базилько,Православні
Балан,Православні
Баран,Православні
Білинський,Православні
Бунякевич,Православні
Вдовиченко,Православні
Гарбінський,Православні
Гарлицький,Православні
Григоренко,Православні
Гричина,Православні
Дарчук,Православні
Дебчинський,Православні
Донець,Православні
Дорошенко,Православні
Задорожній,Православні
Заїченко,Православні
Закревський,Православні
Зеленюк,Православні
Каковський,Православні
Кнур,Православні
Козаков,Православні
Комар,Православні
Кравчук,Православні
Крижановський,Православні
Липовенко,Православні
Лівандовський,Православні
Лободюк,Православні
Лукавецький,Православні
Майбродський,Православні
Майброцький,Православні
Макарчук,Православні
Марунович,Православні
Мельник,Православні
Микульський,Православні
Миналюк,Православні
Мицюк,Православні
Міхневський,Православні
Муравський,Православні
Наумець,Православні
Николайчук,Православні
Ольшевський,Православні
Осадчук,Православні
Панамарчук,Православні
Пастушенко,Православні
Петрак,Православні
Полещук,Православні
Поперечний,Православні
Поперечний-Осадчук,Православні
Приймак,Православні
Прохницький,Православні
Пташник,Православні
Раєвський,Православні
Ребедак,Православні
Соболевський,Православні
Тринчук,Православні
Тундяк-Вдовиченко,Православні
Тупчієнко-Кравчина,Православні
Фоменко-Юрченко,Православні
Чипендюк-Мазурик,Православні
Швабовський,Православні
Яворський,Православні
Янковський,Православні
Добровольський,
Радишевський,
