Прізвище,сповідання
Антонович,православний
Артеменко,православний
Бабенко,православний
Баійора,католик
Бараненко,православний
Берчук,православний
Беченко,православний
Білий,православний
Біневський,православний
Бондар,православний
Борков,православний
Бочкаренко,православний
Булах,православний
Бялік,юдей
Вайштейн,юдей
Ванштейн,юдей
Василевський,католик
Василюк,православний
Василюшка,православний
Вдовенко,православний
Власенко,православний
Власюк,православний
Ворона,православний
Воспітанний,православний
Вул,юдей
Гелевич,католик
Гєрштейн,юдей
Гореницький,православний
Горинецький,православний
Гречка,православний
Гриневицький,католик
Гуляр,православний
Гуральнік,юдей
Гурський,православний
Гурський,католик
Денеженко,православний
Дзюбенко,православний
Дитвин,православний
Дончук,православний
Дроздович,православний
Дроздович,католик
Духовний,юдей
Дьяченко,православний
Едельман,юдей
Ерштейн,юдей
Желіховський,православний
Жураховський,православний
Жураховський-Осика,православний
Завадський,православний
Задорожний,православний
Задорожній,православний
Закревський,православний
Заруцький,православний
Засадкевич,православний
Злотковський,православний
Зубровський,православний
Іванченко,православний
Ільченко,православний
Іхтман,юдей
Іцковскій,юдей
Кабан,православний
Кац,юдей
Кашперський,католик
Кируша,православний
Кирюша,православний
Кирюша,католик
Клешня,православний
Клиновський,православний
Клімацький,православний
Коваленко,православний
Коваль,православний
Конобас,православний
Конончук,православний
Константинович,православний
Костромітін,православний
Кравець,православний
Кравченко,православний
Криштофа,православний
Крівіцкій,юдей
Крук,католик
Кулик,православний
Кулина,православний
Кусок,православний
Куценко,православний
Кучер,православний
Лавринчук,православний
Леміщенко,православний
Лєвітес,юдей
Липчинський,католик
Литвин,православний
Ліндерман,юдей
Ловкий,православний
Любченко,православний
Макаренко,православний
Максименко,православний
Максименко-Задорожній,православний
Матенко,юдей
Матусов,юдей
Мельник,православний
Менчук,православний
Мінчук,православний
Можаровський,православний
Молчановський,православний
Мороз,православний
Мотенко,юдей
Мотилевич,православний
Нетребський,православний
Нудченко,православний
Оваденко,юдей
Ординський,католик
Орловський,православний
Осика,православний
Павленко,православний
Паволочскій,юдей
Пархоменко,православний
Пересунько,православний
Петровський,католик
Пєтушков,православний
Пивовар,православний
Пивовар,католик
Піраковський,православний
Плонський,православний
Погребискій,юдей
Подгурський,православний
Полішук,юдей
Портной,юдей
Распутній,православний
Речмедін,православний
Рильський,православний
Різниченко,православний
Різниченко,католик
Родштейн,юдей
Рожалович,православний
Русецький,православний
Самофал,православний
Сандалович,православний
Сандаловський,православний
Сидоренко,православний
Сиротинський,православний
Сиротинський,католик
Скуйбіда,православний
Соловей,православний
Сотнік,юдей
Стембор-Рильський,православний
Стібор-Рильський,православний
Стімбор-Рильський,православний
Страшенко,православний
Ступницький,православний
Танашук,православний
Тильний,православний
Тимошенко,православний
Титаренко,православний
Ткаченко,православний
Трембіцький,православний
Тульненко,православний
Тульчинскій,юдей
Унаскіль,юдей
Устименко,православний
Ушерєнко,юдей
Фещенко,православний
Филипенко,православний
Филиппенко,православний
Фіалка,православний
Франштут,юдей
Френкєль,юдей
Футорман,юдей
Харченко,православний
Хвойніцкій,юдей
Хороба,православний
Цепковський,православний
Чернявський,православний
Черняковський,православний
Черняковський,католик
Черняховський,православний
Шарль,католик
Швець,православний
Шевалєнко,юдей
Шевченко,православний
Шевчук,православний
Шейченко,православний
Шехєт,юдей
Шехтман,юдей
Шкіра,православний
Шлєхтман,юдей
Шльопак,юдей
Шостановський,католик
Штарга,католик
Ярмульський,православний
