Прізвище,Релігія,Примітка
Бабченко,Православні,
Балка,Православні,
Безденний,Православні,
Безноско,Православні,
Безпалько,Православні,
Бондаренко,Православні,
Борзаковський,Православні,
Говядовський,Православні,
Голубовський,Православні,
Гонтаренко,Православні,
Горовой,Православні,
Грабовенко,Православні,
Григоренко,Православні,
Данелюк,Православні,
Дворанчук,Православні,
Дворовой,Православні,
Дворянчук,Православні,
Денесюк,Православні,
Дзьонь,Православні,
Дончевський,Православні,
Дудник,Православні,
Жашкевич,Православні,
Жуковський,Православні,
Заболотній,Православні,
Ільїн,Православні,
Кашперський,Православні,
Кедик,Православні,
Колісниченко,Православні,
Крицький,Православні,
Співаков,Православні,Земля дворянки Леонтіни Нарвайш
Терлецький,Католики,
Блажієвський,Католики,
Непокойчицький,Католики,
Нарвайш,Католики,
