Прізвище,Релігія
Бабенко,Православні
Байрака,Православні
Байрацький,Православні
Бала,Православні
Баленко,Православні
Бенедик,Православні
Березовський,Православні
Білоус,Православні
Близнюк,Православні
Богачевський,Православні
Бондаренко,Православні
Валета,Православні
Василенко,Православні
Войтенко,Православні
Волосянко,Православні
Волошин,Православні
Галятовський,Православні
Гарбінськаго,Православні
Гарбінський,Православні
Гладченко,Православні
Грохольськаго,Православні
Грохольський,Православні
Данилов,Православні
Дармограй,Православні
Добровольський,Православні
Дьяченко,Православні
Ємець,Православні
Жуковський,Православні
Журба,Православні
Іванов,Православні
Кабанець,Православні
Казначей,Православні
Карачун,Православні
Кашуцький,Православні
Килимниченко,Православні
Килиниченко,Православні
Кобець,Православні
Коваленко,Православні
Ковальов,Православні
Кожуховський,Православні
Коновальчук,Православні
Коринюк,Православні
Кошовенко,Православні
Кошовой,Православні
Кривда,Православні
Ктиторенко,Православні
Кудриш,Православні
Куліш,Православні
Лисюченко,Православні
Лиходієнко,Православні
Ляпка,Православні
Лященко,Православні
Макаренко,Православні
Маляренко,Православні
Манзенко,Православні
Мартинюк,Православні
Мезеряка,Православні
Мезиряка,Православні
Мизирака,Православні
Мизиряка,Православні
Міньковський,Православні
Мироненко,Православні
Міщенко,Православні
Мовчан,Православні
Непота,Православні
Нечаснюк,Православні
Никитенко,Православні
Нікулін,Православні
Нога,Православні
Олейниченко,Православні
Омельчук,Православні
Орелєнко,Православні
Орловський,Православні
Павленко,Православні
Панченко,Православні
Парницький,Православні
Патема,Православні
Патьома,Православні
Поснаго,Православні
Патоля,Православні
Пащак,Православні
Писаренко,Православні
Письменний,Православні
Подолянець,Православні
Посний,Православні
Ратушний,Православні
Редька,Православні
Ремез,Православні
Ременний,Православні
Рімьоний,Православні
Рудь,Православні
Садовський,Православні
Самойлович,Православні
Семанюк,Православні
Семенов,Православні
Сидоренко,Православні
Сиров,Православні
Сирота,Православні
Сиротюк,Православні
Січкар,Православні
Скала,Православні
Слабоузов,Православні
Славінський,Православні
Слюсаренко,Православні
Сніжко,Православні
Стекецький,Православні
Сухота,Православні
Тарасюк,Православні
Турчин,Православні
Угляр,Православні
Филипчук,Православні
Філоновський,Православні
Цимбал,Православні
Цотик,Православні
Череватий,Православні
Череватаго,Православні
Череватюк,Православні
Чернишов,Православні
Черновол,Православні
Чмотра,Православні
Тарасюнь,Православні
Трохименко,Православні
Чубар,Православні
Швед,Православні
Шкапенко,Православні
Ямковенко,Православні
Янкевич,Православні
Яровага,Православні
Яровой,Православні
Войтенко,Православні
Трохименко,Православні
Тарасюнь,Православні
Волошин,Православні
Кабанець,Православні
Мезиряка,Православні
Журба,Православні
Завадський,Католики
Дірєктор,Юдеї
Кутович,Юдеї
Міровен,Юдеї
Пісарєв,Юдеї
Рабінович,Юдеї
Тульчинський,Юдеї
Футернік,Юдеї
