Прізвище,сповідання
Абрамов,православний
Адамчук,православний
Антонюк,православний
Атаманчук,православний
Бабьюк,православний
Балицький,православний
Барсук,юдей
Березюк,православний
Берчук,православний
Бех,православний
Бєрчук,юдей
Бойко,православний
Борисенко,православний
Бучок,православний
Василевський,православний
Васюра,православний
Вишневський,православний
Владичук,православний
Ганчарук,православний
Гарбар,православний
Голюк,православний
Григорович,православний
Гринсевич,православний
Гринь,православний
Гриша,православний
Грищенко,православний
Дзідзинський,православний
Єсенчук,православний
Жогло,православний
Загоруйко,православний
Залевський,православний
Захарчук,православний
Ільницький,православний
Іщук,православний
Каракоха,православний
Кимлик,православний
Климчук,православний
Кобець,православний
Козаченко,православний
Корзун,православний
Корнійчук,православний
Котилян,православний
Коцюк,православний
Кравчук,православний
Крижановський,православний
Круліковський,православний
Кулинець,православний
Кумановський,католик
Куцюк,православний
Кучерук,православний
Лебедь,православний
Левицький,православний
Левицький,католик
Логвінскій,юдей
Луцкевич,православний
Луцький,православний
Майстрич,православний
Макарчук,православний
Малий,православний
Маринюк,православний
Мартинюк,православний
Мельник,православний
Мінартов,католик
Мой,православний
Мойок,православний
Нетребчук,православний
Ольчук,православний
Оляновскій,юдей
Омельчук,православний
Оппоков,православний
Панасюк,православний
Пігулик,православний
Подгорецький,православний
Полішук,православний
Попельницький,православний
Рибчинський,православний
Савчук,православний
Самилюк,православний
Сападов,православний
Свистун,православний
Сербін,православний
Сергійко,православний
Скоромний,православний
Сліпченко,православний
Стасюк,православний
Столярчук,православний
Твардовський,православний
Томашовський,православний
Трофимчук,православний
Турковський,православний
Файбишенко,юдей
Фурман,православний
Харченко,православний
Хоптян,православний
Хронюк,православний
Церковний,православний
Церковнюк,православний
Чернега,православний
Черній,православний
Чєрнянскій,юдей
Шведун,православний
Шмігельський,православний
Шпєктор,юдей
Шульган,православний
