Прізвище,Релігія
Артеменюк,Православні
Бабій,Православні
Бабійчук,Православні
Бадера,Православні
Байда,Православні
Балабанюк,Православні
Балицький,Православні
Баран,Католики
Бачковський,Православні
Бекер,Православні
Беккер,Православні
Бердега,Православні
Берегуля,Православні
Билінський,Православні
Бойко,Православні
Бондаренко,Православні
Бржозовський,Православні
Брижка,Православні
Булка,Православні
Бурбела,Православні
Бурлака,Православні
Валігура,Православні
Вернигора,Православні
Вітинський,Православні
Віштак,Православні
Гаврилюк,Православні
Головатюк,Православні
Гончарук,Православні
Гордашевський,Православні
Горобчук,Православні
Горохолінський,Православні
Грабовський,Католики
Гримальський,Православні
Грицай,Православні
Грицань,Православні
Гричанюк,Православні
Грищук,Православні
Гродецький,Православні
Дашевський,Юдеї
Деревянко,Православні
Деркач,Православні
Димнич,Православні
Дишлюк,Православні
Драгоруб,Православні
Дубчак,Православні
Дядюра,Православні
Жура,Православні
Загорайчук,Православні
Загорейчук,Православні
Загорійчук,Православні
Задорожній,Православні
Заїка,Православні
Захарчук,Православні
Здзіховський,Католики
Ільницький,Православні
Ільченко,Православні
Казщук,Православні
Каленкін,Православні
Каленчак,Православні
Калінчак,Православні
Карвачук,Православні
Кацараба,Православні
Килимник,Православні
Коваль,Православні
Ковбаса,Православні
Ковбасюк,Православні
Когут,Православні
Козюбра,Православні
Колесник,Православні
Колибаба,Православні
Колінчак,Православні
Кончаковський,Православні
Корнійчук,Православні
Костяний,Православні
Коцюруба,Православні
Кравець,Православні
Кравчук,Православні
Красиловський,Юдеї
Кривда,Православні
Кротюк,Православні
Курдель,Православні
Кучер,Православні
Кучеренко,Православні
Лапчинський,Православні
Лахман,Православні
Левченко,Православні
Линик,Православні
Линник,Православні
Лозинський,Католики
Львович,Православні
Любарський,Православні
Мазур,Юдеї
Майструк,Православні
Малаховецький,Православні
Мамонюк,Православні
Мамялюк,Православні
Маслюков,Єдиновірці
Матвійчук,Православні
Маціа,Православні
Мельник,Православні
Мельниченко,Православні
Михальченко,Православні
Міщук,Православні
Мовчан,Православні
Могера,Православні
Мохила,Православні
Мохина,Православні
Мулик,Православні
Муник,Православні
Нагорний,Православні
Нарожний,Православні
Немировський,Православні
Нетяга,Православні
Нос,Православні
Озвальд,Православні
Оксенгендлер,Юдеї
Ольшанський,Православні
Ольшевський,Католики
Орловський,Православні
Паламарчук,Православні
Паук,Православні
Пелепенко,Православні
Подгаєць,Православні
Пожарський,Православні
Поліщук,Православні
Полозун,Православні
Попик,Православні
Порилюк,Православні
Пороховський,Православні
Потовенко,Православні
Починок,Православні
Прокопчук,Православні
Пуговський,Православні
Пшичук,Православні
Радолицький,Православні
Ревнюк,Православні
Рєзніков,Єдиновірці
Савицький,Православні
Самохвал,Православні
Свінцицький,Православні
Семенчук,Православні
Сивак,Православні
Сининчук,Православні
Смакоуз,Православні
Сонгаль,Православні
Сорока,Православні
Столярчук,Православні
Сторожинський,Католики
Талабанюк,Православні
Танцюра,Православні
Тащій,Православні
Терещук,Православні
Тинюк,Православні
Титорчук,Православні
Томащук,Православні
Тонконог,Юдеї
Угличук,Православні
Федоренко,Православні
Франчук,Православні
Хамелюк,Православні
Хоменко,Православні
Чайка,Православні
Чвиркало,Православні
Череватюк,Православні
Чмирук,Православні
Шакал,Православні
Шаповал,Православні
Швець,Православні
Шпора,Православні
Шумський,Православні
Шуцький,Православні
Ямковий,Православні
Яценко,Православні
