Прізвище,Релігія
Бабій,Православні
Безкоровайний,Православні
Березнюк,Православні
Бишук,Православні
Білан,Православні
Білик,Православні
Богдан,Православні
Бондар,Православні
Борсук,Православні
Василенко,Православні
Виницький,Православні
Вітович,Православні
Вішталь,Православні
Власюк,Православні
Вовк,Православні
Герасимук,Православні
Голуб,Православні
Гонтар,Православні
Гончар,Православні
Горбань,Православні
Горобець,Православні
Григорук,Православні
Данилюк,Православні
Дзись,Православні
Дорош,Православні
Єремчук,Православні
Єровенко,Православні
Заболотній,Православні
Завальнюк,Православні
Залєський,Православні
Запорожець,Православні
Заремба,Православні
Карабан,Православні
Караванський,Православні
Касіаненко,Православні
Киречек,Православні
Киричек,Православні
Кирочек,Православні
Кифорук,Православні
Коваленко,Православні
Коваль,Православні
Колесник,Православні
Колісник,Православні
Коник,Православні
Корецький,Православні
Коробка,Православні
Кравченко,Православні
Кротенко,Православні
Кучеренко,Православні
Лелека,Православні
Лесенко,Православні
Лисенко,Православні
Лисенько,Православні
Лисинько,Православні
Лосієв,Православні
Малицький,Православні
Мельник,Православні
Мельниченко,Православні
Мельничук,Православні
Мехальчук,Православні
Михальчук,Православні
Музика,Православні
Мурка,Православні
Найчук,Православні
Новицький,Православні
Новосад,Православні
Очеретній,Православні
Петренко,Православні
Петросюк,Православні
Плахотнюк,Православні
Плохотнюк,Православні
Подлипняк,Православні
Поліщук,Православні
Понедільчук,Православні
Прачук,Православні
Преймак,Православні
Прокоп'юк,Православні
Пугач,Православні
Пьонтий,Православні
Пьйонтий,Православні
Рабоконь,Православні
Рудюк,Православні
Садловський,Православні
Сивак,Православні
Сидорук,Православні
Синчук,Православні
Сінчук,Православні
Слуць,Православні
Сухомуд,Православні
Ткаченко,Православні
Удод,Православні
Удуд,Православні
Фомиченко,Православні
Франко,Православні
Фурлета,Православні
Харкавчук,Православні
Харковчук,Православні
Хмура,Православні
Царюк,Православні
Черевко,Православні
Чернега,Православні
Чиж,Православні
Чиженко,Православні
Шарук,Православні
Шевчук,Православні
Шепет,Православні
Щербатюк,Православні
Янчук,Православні
Смолянський,Юдеї
Духовний,Юдеї
Духовський,Юдеї
Бардичевський,Юдеї
Зубатий,Юдеї
Шухат,Юдеї
Немеровський,Юдеї
Бродський,Юдеї
Бубіс,Юдеї
