Прізвище,сповідання
Андрощук,православний
Білоконь,православний
Бондар,православний
Борисюк,православний
Вдовиченко,православний
Вільчинський,православний
Волинець,православний
Грабля,православний
Гринич,православний
Гуляс,православний
Гулящук,православний
Гуменюк,православний
Демчук,православний
Деюра,православний
Довгошия,православний
Дубовий,православний
Дядюсь,православний
Зимогляд,православний
Кіча,православний
Ковтонюк,православний
Козицький,православний
Колибаба,православний
Коломієць,православний
Кондратюк,православний
Костейчук,православний
Крижановський,православний
Кулибаба,православний
Кухта,православний
Кучер,православний
Левонюк,православний
Лещук,православний
Лисак,православний
Лукащук,православний
Мандзивола,православний
Манькут,православний
Мельник,православний
Миколюк,православний
Онищук,православний
Осаволюк,православний
Перемибіда,православний
Пивовар,православний
Пигіна,православний
Писар,православний
Пляс,православний
Рабоконь,православний
Ратушний,православний
Ревунець,православний
Рижук,православний
Саббашний,православний
Свиридюк,православний
Сиридюк,православний
Скоцький,православний
Сміщук,православний
Стельмах,православний
Сухов,православний
Табачук,православний
Тарасюк,православний
Тислюк,православний
Харчук,православний
Христич,православний
Хуторнюк,православний
Цибора,православний
Черниш,православний
Чернищук,православний
Чернявський,православний
Чиж,православний
Чижук,православний
Чумак,православний
Шершунович,православний
Шпачук,православний
Якимчук,православний
Яремчук,православний
