Прізвище,Релігія
Андрієвський,Православні
Бевз,Православні
Белінський,Православні
Бендерський,Православні
Біда,Православні
Богданова,Православні
Вара,Православні
Варич,Православні
Вельгуш,Православні
Вириснякова,Православні
Височина,Православні
Волошин,Православні
Ганджа,Православні
Гика,Православні
Головатий,Православні
Гончар,Православні
Горбаньова,Православні
Горбатий,Православні
Горлатюк,Православні
Гриманчук,Православні
Давидчик,Православні
Данчук,Православні
Дзьоба,Православні
Дробаха,Православні
Жебет,Православні
Іванюта,Православні
Казьонний,Православні
Кармалита,Православні
Карпенко,Православні
Ковтун,Православні
Козаковський,Православні
Колесник,Православні
Копиченко,Православні
Коровій,Православні
Котик,Православні
Кривда,Православні
Кулинич,Православні
Лановенко,Православні
Левицький,Православні
Лихенко,Православні
Луценко,Православні
Майданик,Православні
Мариниченко,Православні
Мельник,Православні
Мукомел,Православні
Мукомела,Православні
Мукумел,Православні
Осипов,Православні
Осташевський,Православні
Очеретяний,Православні
Парипса,Православні
Парієва,Православні
Пасечник,Православні
Переймибіда,Православні
Пронь,Православні
Проценко,Православні
Рабоконь,Православні
Романенко,Православні
Руденко,Православні
Савченко,Православні
Савчинко,Православні
Сагал,Православні
Самець,Православні
Сироцинський,Православні
Скуба,Православні
Смидон,Православні
Сокол,Православні
Степаненко,Православні
Таран,Православні
Усатий,Православні
Ушумерчук,Православні
Фоменко,Православні
Хлопійчук,Православні
Хоменко,Православні
Цимбалин,Православні
Цимбал,Православні
Чученко,Православні
Шарий,Православні
Шевчик,Православні
Шевчук,Православні
Шестопал,Православні
Шостопалов,Православні
Яровий,Православні
Гемпель,Католики
Капельсєвич,Католики
Савицький,Католики
Орадовський,Юдеї
Орель,Юдеї
Ротман,Юдеї
Фінкельштейн,Юдеї
