Прізвище,Релігія
Багрій,Православні
Барський,Православні
Білоус,Православні
Біляковський,Православні
Бойко,Православні
Власюк,Православні
Вовчок,Православні
Ворущак,Православні
Габа,Юдеї
Гаврилюк,Православні
Гладкий,Православні
Говорущак,Православні
Годованюк,Православні
Гончар,Православні
Гребинюк,Православні
Грубіан,Православні
Дегтяр,Православні
Дикий,Православні
Диткевич,Православні
Жук,Православні
Заслонюк,Православні
Звоніський,Православні
Іванишен,Православні
Іванишин,Православні
Коломеїць,Православні
Криворучка,Православні
Круць,Православні
Кулинич,Православні
Лапчинський,Православні
Маковей,Православні
Мамчій,Православні
Мелєшков,Православні
Меркун,Православні
Мещенко,Православні
Митник,Православні
Митьник,Православні
Міркун,Православні
Міхнєвич,Православні
Мотилиця,Православні
Мутилиця,Православні
Нагожук,Православні
Незгода,Православні
Паламарчук,Православні
Пересунька,Православні
Пересунько,Православні
Подоляк,Православні
Подолян,Православні
Покотило,Православні
Прокопенко,Православні
Райцен,Юдеї
Сагайдак,Православні
Сайдак,Православні
Свинцицький,Православні
Сколотьний,Православні
Сколотяний,Православні
Смейко,Православні
Снєгур,Православні
Снігур,Православні
Станькевич,Православні
Столяр,Православні
Стрелець,Православні
Терешко,Православні
Форостяний,Православні
Хлевнюк,Православні
Цимбалюк,Православні
Швець,Православні
Шевчук,Православні
Ширемета,Православні
Юстименко,Православні
Яковенко,Православні
