Прізвище,сповідання
Байда,православний
Баніт,православний
Бартомець,православний
Бацак,православний
Бендерець,православний
Берестюк,православний
Бєльковскій,юдей
Білун,православний
Бірук,православний
Бондар,православний
Борисюк,православний
Боровой,православний
Бурлака,православний
Ватажко,православний
Вертецький,православний
Вишталюк,православний
Волинець,православний
Галайчук,православний
Герасимчук,православний
Герега,православний
Глушенко,православний
Гордійчук,православний
Грушка,православний
Гурський,православний
Диня,православний
Довбиш,православний
Доробайло,православний
Загоруйко,православний
Замазанюк,православний
Ільчук,православний
Каплун,юдей
Карпенко,православний
Карпенюк,православний
Кичук,православний
Ковалик,православний
Ковальчук,православний
Козаченко,православний
Комар,православний
Корнієць,православний
Костенко,православний
Котелянець,православний
Крижановський,православний
Кучер,православний
Кушнір,православний
Ладабурнік,православний
Левенець,православний
Либ,православний
Лимар,православний
Ломака,православний
Макосій,православний
Мельничук,православний
Мигалюк,православний
Музика,православний
Нижник,православний
Нірєнштейн,юдей
Нірінштейн,юдей
Осаолюк,православний
Осаулюк,православний
Осипчук,православний
Офман,юдей
Павлюк,православний
Панасюк,православний
Пархомець,православний
Перчук,православний
Повар,православний
Полонський,православний
Пречесний,православний
Рабишин,православний
Романчук,православний
Рудкевич,православний
Самилюк,православний
Санюк,православний
Сахнюк,православний
Северинчук,православний
Слободянюк,православний
Сорокопуд,православний
Сторчеус,православний
Терлецький,православний
Хоменко,православний
Чернюк,православний
Чумак,православний
Швець,православний
Шиманський,православний
Шинкарук,православний
Шнурковський,православний
Штрахєр,юдей
Шуляк,православний
Яблонський,православний
Якименко,православний
Ямницький,православний
Янковський,католик
Янчук,православний
Яремчук,православний
Яровой,православний
Ярошук,православний
Ясюк,православний
