усі,віросповідання
Артющенко,православний
Бадовський,православний
Базильський,православний
Балицький,православний
Бартко,православний
Бацай,православний
Бачинський,православний
Безверхий,православний
Білан,православний
Біланов,православний
Білик,православний
Білошкура,православний
Білошкуров,православний
Бойко,православний
Бойков,православний
Боліцький,православний
Бондаренко,православний
Бораковський,православний
Борисенко,православний
Бурковецький,православний
Бурлако,православний
Варченко,православний
Василенко,православний
Вовк,православний
Волошин,православний
Ворона,православний
Воронка,православний
Воронков,православний
Воронов,православний
Ворченко,православний
Гавриленко,православний
Гайдай,православний
Галайденко,православний
Ганчарук,православний
Гарнага,православний
Гончар,православний
Гончаров,православний
Гончарук,православний
Горбатюк,православний
Гриненко,православний
Груша,православний
Грушев,православний
Денесюк,православний
Денисенко,православний
Деревянко,православний
Домарацький,православний
Дьяченко,православний
Дяченко,православний
Євтушенко,православний
Жаворонок,православний
Желудєв,православний
Живой,православний
Жлуктієнко,православний
Жумлянський,православний
Жушман,православний
Захарченко,православний
Капестира,православний
Качалаба,православний
Кердан,православний
Кердань,православний
Кирдан,православний
Кирдань,православний
Кисилевич,православний
Книрша,православний
Коваленко,православний
Ковальський,православний
Козій,православний
Колесник,православний
Комар,православний
Комісаренко,православний
Копистира,православний
Копістира,православний
Корінний,православний
Корнійчук,православний
Кот,православний
Кошеко,православний
Кравчук,православний
Кривошея,православний
Кривошия,православний
Крижановський,православний
Круглій,православний
Кубай,православний
Кумановський,православний
Куценко,православний
Лавренюк,православний
Лаготка,православний
Лановенко,православний
Лисогора,православний
Лисогоров,православний
Ліщинський,православний
Люлька,православний
Магдич,православний
Мазуренко,православний
Макарський,православний
Маковецький,православний
Максеменюк,православний
Мальованик,православний
Маляр,православний
Марченко,православний
Матьвієнко,православний
Маципура,православний
Маціпура,православний
Мельник,православний
Мигалевич,православний
Миронюк,православний
Михайленко,православний
Міхай,православний
Могалевич,православний
Мрочко,православний
Музитчук,православний
Музичук,православний
Мукарський,православний
Мусат,православний
Назаренко,православний
Невіра,православний
Ніколаєв,православний
Новосельський,православний
Носальський,православний
Околита,православний
Олейник,православний
Омельянчук,православний
Остроголовий,православний
Пасинок,православний
Пахольченко,православний
Петренко,православний
Пірко,православний
Подвальний,православний
Пожарський,православний
Полещук,православний
Поліщук,православний
Посмітюха,православний
Постовит,православний
Посьмитюха,православний
Пращенко,православний
Придня,православний
Прищенко,православний
Раду,православний
Ржепецький,православний
Рибаченко,православний
Рогаченко,православний
Роєнко,православний
Рудик,православний
Рудник,православний
Сабашенко,православний
Сененко,православний
Сиденко,православний
Синенко,православний
Сироїда,православний
Скирдов,православний
Смілянець,православний
Соловєйков,православний
Соловійко,православний
Степаненко,православний
Стеркаленко,православний
Стукаленко,православний
Талан,православний
Танцюра,православний
Танцюров,православний
Тарган,православний
Татаров,православний
Тетера,православний
Ткаченко,православний
Токаренко,православний
Ульвич,православний
Фарина,православний
Феліпович,православний
Фітенко,православний
Фіщенко,православний
Харченко,православний
Херсонець,православний
Хован,православний
Цюпаченко,православний
Чередайко,православний
Чиж,православний
Чижев,православний
Шайновський,православний
Шведкий,православний
Шведов,православний
Шевчук,православний
Шимко,православний
Шрамко,православний
Щербатий,православний
Щербина,православний
Щербинов,православний
Щербинюк,православний
Щуцький,православний
Якименко,православний
Яковенко,православний
Янкевич,православний
Яровий,православний
Яценко,православний
Яцула,юдей
Бідерман,юдей
Вовкобой,юдей
Голубой,юдей
Кланц,юдей
Краснобродський,юдей
Ловінський,юдей
Мазуровський,юдей
Мученик,юдей
Острожанський,юдей
Перель,юдей
Періль,юдей
Фраймон,юдей
