Прізвище,Релігія
Банчик,Православні
Бобрик,Православні
Бузань,Православні
Вовченко,Православні
Войтенко,Православні
Гнатенко,Православні
Горбенко,Православні
Гордієнко,Православні
Гребенюк,Православні
Гуменюк,Православні
Гусаковський,Православні
Давиденко,Православні
Дворчук,Православні
Денисевич,Православні
Дубицький,Православні
Заворотній,Православні
Ільченко,Православні
Кацалапенко,Православні
Книш,Православні
Коба,Православні
Ковальов,Православні
Колесниченко,Православні
Корнюх,Православні
Костенко,Православні
Коцюбинський,Православні
Кравченко,Православні
Крайнюк,Православні
Красненко,Православні
Купріяненко,Православні
Лещенко,Православні
Лукашевський,Православні
Лукашенко,Православні
Ляховецький,Православні
Мандра,Православні
Маньдюк,Православні
Мацієвич,Православні
Мельник,Православні
Новіков,Православні
Осьмуха,Православні
Павличенко,Православні
Паученко,Православні
Плахтій,Православні
Пономаренко,Православні
Пономарчук,Православні
Постоловський,Православні
Рабовол,Православні
Рокошанський,Православні
Руденко,Православні
Семенюк,Православні
Синильник,Православні
Слободяник,Православні
Слюсаренко,Православні
Солонько,Православні
Таран,Православні
Фурьяка,Православні
Халупа,Православні
Хльобас,Православні
Худолій,Православні
Чепелянський,Православні
Чорний,Православні
Шевелюк,Православні
Шерстюк,Православні
Широкопояс,Православні
Щедров,Православні
Юдченко,Православні
Юрченко,Православні
Ямковенко,Православні
Ямчур,Православні
