Прізвище,Релігія
Андрійчук,Православні
Афанюк,Православні
Бабій,Православні
Бакай,Православні
Баран,Православні
Барченко,Православні
Бацюра,Православні
Безлюдний,Православні
Білецький,Православні
Білик,Православні
Білоус,Православні
Бойко,Православні
Болданський,Православні
Бондар,Православні
Бондаренко,Православні
Бурлачка,Православні
Великий,Православні
Войтенко,Православні
Волошин,Православні
Воронюк,Православні
Гега,Православні
Гладієнко,Православні
Гончар,Православні
Гончарь,Православні
Гречен,Православні
Гречин,Православні
Грушевенко,Православні
Гуль,Православні
Данилюк,Православні
Джога,Православні
Драч,Православні
Дрочук,Православні
Дудник,Православні
Дяченко,Православні
Ємець,Православні
Загоровський,Православні
Заграничний,Православні
Заїка,Православні
Закорчменний,Православні
Замотайло,Православні
Заюровський,Православні
Зеленюк,Православні
Зрайченко,Православні
Каленичук,Православні
Калінчук,Православні
Капелюшний,Православні
Клещук,Православні
Кліщук,Православні
Коваленко,Православні
Ковалинський,Православні
Коваль,Православні
Козоріз,Православні
Кондратюк,Православні
Конончук,Православні
Копичка,Православні
Коринюк,Православні
Коцюба,Православні
Кравець,Православні
Кравченко,Православні
Кузьменко,Православні
Кулик,Православні
Куцак,Православні
Куценко,Православні
Кучай,Православні
Кучер,Православні
Кучеренко,Православні
Кучерук,Православні
Левицький,Православні
Левченко,Православні
Лейзюк,Православні
Лисак,Православні
Литвинюк,Православні
Лихолай,Православні
Лопушанський,Православні
Лучка,Православні
Майка,Православні
Мамчур,Православні
Мартинюк,Православні
Марушевський,Православні
Махроцький,Православні
Мельник,Православні
Михайлов,Православні
Мойсеєнко,Православні
Мусієнко,Православні
Мшанецький,Православні
Нестепанов,Православні
Овчар,Православні
Овчарюк,Православні
Однорог,Православні
Олійник,Православні
Осипенко,Православні
Паламарчук,Православні
Паланський,Православні
Парфенюк,Православні
Перевалов,Православні
Пересунько,Православні
Печенюк,Православні
Пироговський,Православні
Поліщук,Православні
Полянчук,Православні
Попик,Православні
Прозин,Православні
Прудиус,Православні
Решетилов,Православні
Рибак,Православні
Рожок,Православні
Рочняк,Православні
Рюмин,Православні
Савицький,Православні
Савчук,Православні
Свинарчук,Православні
Семеновський,Православні
Сергієнко,Православні
Сивак,Православні
Сидоренко,Православні
Симончук,Православні
Скрипник,Православні
Сніцар,Православні
Сніцарь,Православні
Сотник,Православні
Старовойт,Православні
Стеценко,Православні
Сторожук,Православні
Табачний,Православні
Тарасюк,Православні
Телещук,Православні
Тихонюк,Православні
Ткаченко,Православні
Троянкер,Юдеї
Угляр,Православні
Холевинський,Православні
Хоткевич,Православні
Хрипун,Православні
Цюник,Православні
Чепкий,Православні
Шаворський,Православні
Шевченко,Православні
Школьний,Православні
Шульга,Православні
Ядак,Православні
Яремчук,Православні
Яценко,Православні
