Прізвище,Релігія
Анисимов,Православні
Баданюк,Православні
Бевз,Православні
Березовський,Православні
Бесенко,Православні
Богачук,Православні
Бондаренко,Православні
Бучак,Православні
Великанець,Православні
Величко,Православні
Витвицький,Православні
Вільчинський,Православні
Власенко,Православні
Войдко,Православні
Волк,Православні
Волосужар,Православні
Гавриленко,Православні
Гануш,Православні
Головатий,Православні
Головченко,Православні
Гончар,Православні
Горбановський,Православні
Горбатюк,Православні
Гульченко,Православні
Деменко,Православні
Денесюк,Православні
Денисюк,Православні
Деревянка,Православні
Думенко,Православні
Єрмолинський,Православні
Желєзняк,Православні
Заворотній,Православні
Загородній,Православні
Загребельний,Православні
Зінченко,Православні
Карпенко,Православні
Качур,Православні
Кизенко,Православні
Кимличенко,Православні
Киселенко,Православні
Кичань,Православні
Кобенко,Православні
Козенко,Православні
Колтоновський,Православні
Комар,Православні
Копил,Православні
Кортоусов,Православні
Кот,Православні
Котоусов,Православні
Коцубинський,Православні
Кревошия,Православні
Кресенко,Православні
Криволап,Православні
Кривошия,Православні
Крук,Православні
Кугай,Православні
Кучер,Православні
Ладченко,Православні
Латк ова,Православні
Лебедь,Православні
Левитський,Православні
Левченко,Православні
Лукасевич,Православні
Любаха,Православні
Ляш,Православні
Ляшенко,Православні
Малюк,Православні
Маляренко,Православні
Мандзенко,Православні
Маркевич,Православні
Марковський,Православні
Мартенюк,Православні
Мокогон,Православні
Муравський,Православні
Назаренко,Православні
Несклада,Православні
Нескоромний,Православні
Никитенко,Православні
Ніколаєвич,Православні
Нога,Православні
Ольшанський,Православні
Остапенко,Православні
Охота,Православні
Паламаренко,Православні
Паровой,Православні
Пилипенка,Православні
Подвисоцький,Православні
Пославський,Православні
Починок,Православні
Пошукайло,Православні
Рабоконь,Православні
Радавський,Православні
Романов,Православні
Романчук,Православні
Руденко,Православні
Рудяшка,Православні
Сальницький,Православні
Сачок,Православні
Сергієнко,Православні
Синаренко,Православні
Таран,Православні
Тараненко,Православні
Топольницький,Православні
Торба,Православні
Хмельницький,Православні
Холод,Православні
Холодний,Православні
Циба,Православні
Чайка,Православні
Чернега,Православні
Чорний,Православні
Швець,Православні
Шевченко,Православні
Щербатюк,Православні
Щербина,Православні
Ямпольський,Православні
Янковой,Православні
Яровенко,Православні
Яровський,Православні
Яценко,Православні
Рудницький,Католики
Филипович,Католики
Стахурський,Католики
Домбровський,Католики
Беркун,Юдеї
Капустяний,Юдеї
Каган,Юдеї
Краснов,Юдеї
