Прізвище,сповідання
Алексійчук,православний
Башук,православний
Білаш,православний
Бобко,православний
Богдановський,православний
Бойко,православний
Братуха,православний
Вовк,православний
Вознюк,православний
Волк,православний
Гнатюк,православний
Головатюк,православний
Городній,православний
Гресь,православний
Грищинський,православний
Гуменюк,православний
Дзявчук,православний
Зозуля,православний
Золотускій,юдей
Іванька,православний
Ігнатюк,православний
Іщук,православний
Калюсь,православний
Коваленко,православний
Ковальчук,православний
Козаченко,православний
Козенюк,православний
Козинюк,православний
Кравчук,православний
Криворучка,православний
Крижановський,православний
Кузьминчук,православний
Кухта,православний
Левчук,православний
Ливицький,православний
Ливчук,православний
Лиман,православний
Мазор,православний
Макогон,православний
Мармиль,православний
Марьєвський,католик
Медведь,православний
Мормиль,православний
Мосципанський,православний
Мосципанський,католик
Нестерук,православний
Оберемко,православний
Ольшевський,католик
Паламарчук,православний
Пархомчук,православний
Пастирук,православний
Пелипчук,православний
Пелих,православний
Петришин,православний
Пєкєліс,юдей
Пєкліс,юдей
Пилипчук,православний
Писарець,православний
Поліщук,православний
Присяжнюк,православний
Редька,православний
Ржевуський,католик
Романчук,православний
Сасюк,православний
Сенаторський,православний
Соболевський,католик
Сорока,православний
Станіславський,православний
Степарук,православний
Цимбал,православний
Цимбалюк,православний
Швед,православний
Шевчук,православний
Шлямар,православний
Яцковський,православний
