Прізвище,сповідання,примітка
Бесараб,православний,
Богуш,православний,
Бонюк,православний,
Бугай,православний,
Бугрій,православний,
Видметенко,православний,циган
Видмитенко,православний,циган
Волошин,православний,
Галушка,православний,
Гладишка,православний,
Глечик,православний,
Горох,православний,
Григорчук,православний,
Гродовський,православний,
Гулько,православний,
Гуменюк,православний,
Данелюк,православний,
Данилюк,православний,
Деревяка,православний,
Деревянка,православний,
Добровольський,православний,
Дорош,православний,
Євтух,православний,
Забродьній,православний,
Заремба,православний,
Злотницький,православний,
Зозуля,православний,
Зузуля,православний,
Івашкевич,православний,
Ільницький,православний,
Іщенко,православний,
Каган,юдей,
Кажукал,православний,
Кажукал,католик,
Кажукало,православний,
Канюк,православний,
Капустюк,православний,
Кацалап,православний,
Кваша,православний,
Ковальчук,православний,
Ковтун,православний,
Криволап,православний,
Кручков,православний,
Кулибаба,православний,
Кутній,православний,
Кучерук,православний,
Кушміль,православний,
Лабунський,православний,
Левицький,православний,
Лемешка,православний,
Лемешка,католик,
Лещук,православний,
Лисовецький,православний,
Лоначевський,православний,
Марчевський,православний,
Махиня,православний,
Мищук,православний,
Мороз,православний,
Непомнющий,православний,
Нечитайло,православний,
Низкошапко,православний,
Ничитайло,православний,
Нірєнбаг,юдей,
Нутер,православний,
Огінський,православний,
Окраїнець,православний,
Олейник,православний,
Олея,православний,
Олійник,православний,
Олішевський,католик,
Олія,православний,
Олтаржевський,православний,
Осаволюк,православний,
Остапчук,православний,
Павловський,православний,
Павлюк,православний,
Паламарчук,православний,
Пампушка,юдей,
Панасюк,православний,
Пасічник,православний,
Пахолюк,православний,
Перлинов,православний,
Покропивний,православний,
Полішук,православний,
Прилуцький,православний,
Пузир,православний,
Разицький,православний,
Родін,православний,
Руденко,православний,
Рудоха,православний,
Рябий,православний,
Рябой,православний,
Рячек,православний,
Рячьок,православний,
Сенюк,православний,
Сєргєєв,православний,
Сиротенко,православний,
Слесарчук,православний,
Слободянюк,православний,
Ставничий,православний,
Степовой,православний,
Сябряй,православний,
Тетерук,православний,
Тищук,православний,
Ткачук,православний,
Угринович,православний,
Файбішенко,юдей,
Филипчук,православний,
Фризюк,православний,
Футорной,православний,
Цехмейструк,православний,
Черній,православний,
Черноволенко,православний,
Черногулов,православний,
Чіж,юдей,
Чумак,православний,
Шиманський,православний,
Шмургун,православний,
Шокало,православний,
Шуляк,православний,
Янковой,православний,
Ясинський,православний,
