Прізвище,Релігія,Примітка
Бевзюк,Православні,
Біласюк,Православні,
Білоус,Православні,
Бойко,Православні,
Бондар,Православні,
Бондаренко,Православні,
Бораковський,Православні,
Боровицький,Православні,
Великий,Православні,
Войченко,Православні,
Волошин,Православні,
Гонтар,Православні,
Гончарук,Православні,
Горбатюк,Православні,
Горук,Православні,
Гурницький,Православні,
Дементюк,Православні,
Деревицький,Православні,
Дмитренко,Православні,
Дмитреченко,Православні,
Дмитрієнко,Православні,
Добриднюк,Православні,
Дорошенко,Православні,
Жигалюк,Православні,
Зайцев,Православні,
Зуммер,Православні,
Іванов,Православні,
Карачун,Православні,
Кваша,Православні,
Кислий,Православні,
Ковальчук,Православні,
Козир,Православні,
Корховий,Православні,
Корчак,Православні,
Кошевий,Православні,
Кривенчук,Православні,
Кучеренко,Православні,
Кучманюк,Православні,
Леонов,Православні,
Лисий,Православні,
Масловський,Православні,
Медвідь,Православні,
Мельник,Православні,
Михайлов,Православні,
Мовчанюк,Православні,
Нагірний,Православні,
Найда,Православні,
Низовий,Православні,
Никитюк,Православні,
Николайчук,Православні,
Новицький,Православні,
Огородник,Православні,
Павлович,Православні,
Панасюк,Православні,
Папірний,Православні,
Патунь,Православні,
Перетийчук,Православні,
Петренко,Православні,
Петреченко,Православні,
Петришин,Православні,
Плахотнюк,Православні,
Поддячий,Православні,
Пономарчук,Православні,
Попик,Православні,
Попов,Православні,
Поповиченко,Православні,
Прудиус,Православні,
Пустовой,Православні,
Пустомитенко,Православні,
Рабоконь,Православні,
Рибак,Православні,
Романюк,Православні,
Рудий,Православні,
Салійчук,Православні,
Самійчук,Православні,
Сарана,Православні,
Сікорський,Православні,
Скрипак,Православні,
Скрипник,Православні,
Солодчук,Православні,
Соравський,Православні,
Сташенюк,Православні,
Ткаченко,Православні,
Филипчук,Православні,
Форостяний,Православні,
Чопенко,Православні,
Шайгородський,Православні,
Шаповал,Православні,
Шевченко,Православні,
Шпилевой,Православні,
Шпильовий,Православні,
Буймистер,Православні,Ферма с.Подобна поч.гр.Вишинського 
Вишинський,Православні,Ферма с.Подобна поч.гр.Вишинського 
Діхтяренко,Православні,Ферма с.Подобна поч.гр.Вишинського 
Добрановський,Православні,Ферма с.Подобна поч.гр.Вишинського 
Ковальський,Православні,Ферма с.Подобна поч.гр.Вишинського 
Кравець,Православні,Ферма с.Подобна поч.гр.Вишинського 
Пономарчук,Православні,Ферма с.Подобна поч.гр.Вишинського 
Святецький,Православні,Ферма с.Подобна поч.гр.Вишинського 
Грінберг-Сулла,Юдеї,
Шапіро,Юдеї,
Кизолець,Юдеї,
Фіксман,Юдеї,
Арбітайло,Юдеї,
Розенштейн,Юдеї,
Шендеровський,Юдеї,
