Прізвище,Релігія
Андрієнко,Православні
Андрущенко,Православні
Асаула,Православні
Бабич,Православні
Балан,Православні
Басс,Православні
Беззубенко,Православні
Белеба,Православні
Бецман,Православні
Білецький,Православні
Білик,Православні
Бойко,Православні
Бойченко,Православні
Болебрух,Православні
Бондаренко,Православні
Борисов,Православні
Бородій,Православні
Бортник,Православні
Будаловський,Православні
Бузовський,Православні
Бурла,Православні
Вельбовець,Православні
Верзун,Православні
Визиренко,Православні
Волинець,Православні
Гавриш,Православні
Гайдамаченко,Православні
Ганущенко,Православні
Гецко,Православні
Гецько,Православні
Гладкий,Православні
Глушенко,Православні
Говорун,Православні
Гоєнко,Православні
Головань,Православні
Голубенко,Православні
Гоменюк,Православні
Гончар,Православні
Гончарук,Православні
Горкун,Православні
Готовець,Православні
Греценко,Православні
Грибеник,Православні
Гриненко,Православні
Гуркун,Православні
Дармограй,Православні
Дехтяренко,Православні
Джима,Православні
Діброва,Православні
Дідух,Православні
Дорофєєв,Православні
Драч,Православні
Дробаха,Православні
Душеньковський,Православні
Дьяченко,Православні
Євфименко,Православні
Жадченко,Православні
Жадько,Православні
Жадьченко,Православні
Животенко,Православні
Животовський,Православні
Жовтенко,Православні
Жовтий,Православні
Зануда,Православні
Запорожець,Православні
Іванчук,Православні
Іванюк,Православні
Іщенко,Православні
Каленичук,Православні
Калерін,Православні
Киндель,Православні
Кириченко,Православні
Кича,Православні
Кичук,Православні
Коваленко,Православні
Коваль,Православні
Ковальчук,Православні
Колодочка,Православні
Кононенко,Православні
Косар,Православні
Коссар,Православні
Котенко,Православні
Кравець,Православні
Красуцький,Православні
Крижановський,Православні
Криштопа,Православні
Куличенко,Православні
Кулібаба,Православні
Курбан,Православні
Лабунька,Православні
Лазарев,Православні
Лазуренко,Православні
Лебедь,Православні
Лесь,Православні
Лещенецький,Православні
Лещенко,Православні
Лисенко,Православні
Луговенко,Православні
Лущан,Православні
Мазур,Православні
Майченко,Православні
Мальований,Православні
Мамула,Православні
Манцюк,Православні
Мачушенко,Православні
Мелащенко,Православні
Мельник,Православні
Миронюк,Православні
Міняйло,Православні
Москаленко,Православні
Музиченко,Православні
Неліховський,Православні
Оберемок,Православні
Олейник,Православні
Омельян,Православні
Оргат,Православні
Орел,Православні
Панасюк,Православні
Панченков,Православні
Пархоменко,Православні
Пасічник,Православні
Пашук,Православні
Пересунько,Православні
Півень,Православні
Пікало,Православні
Пілевський,Православні
Поліщенко,Православні
Поліщук,Православні
Поліщученко,Православні
Польгун,Православні
Попко,Православні
Приймак,Православні
Проценко,Православні
Прудіус,Православні
Пукаленко,Православні
Романчук,Православні
Романюк,Православні
Россинський,Православні
Руденко,Православні
Русаловський,Православні
Савлук,Православні
Самоконь,Православні
Сапонов,Православні
Сеник,Православні
Середенко,Православні
Сивак,Православні
Скрипник,Православні
Скусниченко,Православні
Снігур,Православні
Сокотюк,Православні
Столяр,Православні
Ступницький,Православні
Сусло,Православні
Таран,Православні
Тарануха,Православні
Таранушенко,Православні
Таранущенко,Православні
Тарасенко,Православні
Тарасюк,Православні
Таращенко,Православні
Тихенький,Православні
Ткачук,Православні
Товмач,Православні
Традада,Православні
Третяк,Православні
Уціха,Православні
Фаддеєв,Православні
Хан,Православні
Харченко,Православні
Цибульський,Православні
Чернишенко,Православні
Шараварський,Православні
Шкарупка,Православні
Шкляренко,Православні
Шкурупка,Православні
Щендрегось,Православні
Щержецький,Православні
Язвинський,Православні
Якубенко,Православні
Ярмола,Православні
Ярмула,Православні
Ященко,Православні
Рокицький,Католики
Куровський,Католики
Яніцький,Католики
Ракович,Католики
Волошиновський,Католики
Ступницький,Католики
Литовський,Юдеї
Дізик,Юдеї
Сквирський,Юдеї
