Прізвище,сповідання
Андрущук,православний
Бабенко,православний
Бадьора,православний
Березянчук,православний
Білоус,православний
Бойко,православний
Волинець,православний
Волинець-Жук,православний
Головатюк,православний
Горкун,православний
Горкун-Рибачук,православний
Горкун-Сова,православний
Грицюк,православний
Грицюк-Говяд,православний
Дмитрук,православний
Дудник,православний
Жаран,православний
Іванька,православний
Каленюк,православний
Карась,православний
Карпенко,православний
Кателянець,православний
Клименко,православний
Клочан,православний
Ключник,православний
Ключник-Носка,православний
Козуб,православний
Козук,православний
Колесник,православний
Колесник-Полішук,православний
Колесник-Пугач,православний
Корчук,православний
Костюк,православний
Котелянець,православний
Котелянець-Єжеля,православний
Коцюруба,православний
Крижнюк,православний
Кулинич,православний
Кулинич-Желізо,православний
Левчук,православний
Лісникук,православний
Лісничук,православний
Мартинюк,православний
Марцинюк,православний
Махиборода,православний
Медвідь,православний
Медвідь-Коцюруба,православний
Мінцер,юдей
Міхель,православний
Міхель-Шевчук,православний
Негрій,православний
Ненчук,православний
Нечипорук,православний
Нечипорук-Малагей,православний
Омельченко,православний
Павлюк,православний
Панасюк,православний
Панчук,православний
Панчук-Лопосняк,православний
Петренко,православний
Погорілюк,православний
Подгорський,католик
Поліщук,православний
Походун,православний
Походун-Копиця,православний
Походун-Сова,православний
Приймаченко,православний
Рибачук,православний
Рибачук-Півень,православний
Рижук,православний
Роспотнюк,православний
Савольчук,православний
Саливонюк,православний
Сачук,православний
Сачук-Баце,православний
Сигидюк,православний
Сідак,православний
Сокотун,православний
Стрижавчук,православний
Стрижавчук-Дудник,православний
Тарганщук,православний
Тарганщук-Сова,православний
Тригубчук,православний
Федоровський,православний
Чапала,православний
Черній,православний
Черній-Мудрий,православний
Шевчук,православний
Шевчук-Міхель,православний
Шуст,православний
Шустюк,православний
Шустюк-Санка,православний
Янішевський,католик
